epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,332.711,0.73587,3.50059,1.15785,0.00249,0.61906,0.00629,0.00531,0.67703,3.3876,1.28948,0.0700368,0.00332924,0.00332924
2,657.037,0.63596,3.20755,1.08793,0.0046,0.74602,0.01337,0.01231,0.42366,3.09618,0.9813,0.0400352,0.00666095,0.00666095
3,977.738,0.56284,3.0634,1.04807,0.77832,0.06594,0.01778,0.01657,0.40488,3.19467,0.96135,0.010027,0.00998615,0.00998615
4,1296.83,0.51778,2.92352,1.0235,0.76296,0.07202,0.03364,0.03227,0.35044,2.71813,0.91936,0.00997803,0.00997803,0.00997803
5,1616.15,0.48521,2.81378,1.00479,0.63369,0.08141,0.02793,0.02665,0.32944,2.99809,0.89963,0.00996097,0.00996097,0.00996097
6,1934.25,0.46481,2.71585,0.99632,0.68074,0.10186,0.0579,0.0564,0.31296,2.51265,0.89632,0.00993906,0.00993906,0.00993906
7,2252.81,0.4408,2.62898,0.98236,0.58431,0.12581,0.07199,0.07011,0.30503,2.42126,0.88222,0.00991232,0.00991232,0.00991232
8,2571.26,0.43206,2.54215,0.97741,0.52089,0.15609,0.08187,0.0792,0.29818,2.32552,0.88612,0.00988079,0.00988079,0.00988079
9,2889.73,0.42605,2.4634,0.97453,0.52967,0.18209,0.11184,0.10975,0.29227,2.18184,0.87517,0.00984449,0.00984449,0.00984449
10,3208.22,0.41691,2.39457,0.97089,0.45413,0.19202,0.1119,0.10926,0.28876,2.17935,0.87706,0.00980345,0.00980345,0.00980345
11,3525.65,0.41148,2.31631,0.97008,0.52455,0.2271,0.16598,0.16206,0.28643,1.95084,0.86849,0.00975773,0.00975773,0.00975773
12,3844.1,0.40407,2.2268,0.96692,0.43869,0.2977,0.20954,0.20546,0.27312,1.82068,0.86849,0.00970736,0.00970736,0.00970736
13,4162.32,0.39166,2.13045,0.96021,0.46077,0.31769,0.24514,0.24103,0.27098,1.68194,0.86108,0.00965239,0.00965239,0.00965239
14,4480.62,0.3901,2.05781,0.95988,0.4392,0.33459,0.27281,0.26677,0.2739,1.65059,0.86517,0.00959289,0.00959289,0.00959289
15,4798.55,0.38269,1.97115,0.95585,0.48875,0.36112,0.32416,0.3193,0.25739,1.4903,0.85832,0.00952889,0.00952889,0.00952889
16,5116.67,0.37723,1.89649,0.95298,0.50619,0.37344,0.35281,0.34732,0.25861,1.43289,0.85843,0.00946048,0.00946048,0.00946048
17,5434.87,0.37492,1.83353,0.95207,0.48952,0.43229,0.39085,0.38426,0.25754,1.3664,0.85551,0.00938772,0.00938772,0.00938772
18,5753.18,0.37122,1.75699,0.95082,0.52489,0.44719,0.42691,0.41989,0.25113,1.26634,0.85446,0.00931067,0.00931067,0.00931067
19,6071.13,0.3675,1.70252,0.94991,0.47054,0.47645,0.45602,0.44776,0.24956,1.2026,0.85072,0.00922942,0.00922942,0.00922942
20,6389.28,0.35991,1.63059,0.94358,0.49774,0.51646,0.49369,0.48543,0.24641,1.11935,0.84843,0.00914405,0.00914405,0.00914405
21,6707.26,0.35758,1.57707,0.94519,0.58345,0.50544,0.51375,0.50494,0.24264,1.07012,0.84951,0.00905463,0.00905463,0.00905463
22,7025.5,0.35503,1.52384,0.942,0.62237,0.5105,0.54418,0.53594,0.24265,1.00163,0.84886,0.00896127,0.00896127,0.00896127
23,7343.44,0.34945,1.48553,0.9413,0.63371,0.52789,0.56292,0.55409,0.23819,0.94786,0.84544,0.00886404,0.00886404,0.00886404
24,7661.4,0.34908,1.44511,0.93793,0.66225,0.54654,0.58307,0.57412,0.23317,0.90793,0.84052,0.00876305,0.00876305,0.00876305
25,7979.29,0.34521,1.39221,0.9364,0.63455,0.55162,0.60093,0.59168,0.23468,0.87306,0.84025,0.00865839,0.00865839,0.00865839
26,8297.11,0.34288,1.34811,0.93667,0.67499,0.57364,0.61308,0.60359,0.23132,0.82634,0.84179,0.00855018,0.00855018,0.00855018
27,8614.68,0.33653,1.31293,0.93335,0.6556,0.59426,0.62673,0.61606,0.23244,0.80512,0.84049,0.00843851,0.00843851,0.00843851
28,8932.39,0.33849,1.28794,0.936,0.66778,0.61203,0.64077,0.63081,0.22719,0.77874,0.83766,0.00832349,0.00832349,0.00832349
29,9250.04,0.33273,1.24948,0.93156,0.6897,0.6249,0.65969,0.64934,0.22368,0.74292,0.83499,0.00820525,0.00820525,0.00820525
30,9567.91,0.33205,1.22241,0.9313,0.70319,0.63368,0.66626,0.65566,0.22427,0.72418,0.83593,0.00808389,0.00808389,0.00808389
31,9886.46,0.32837,1.1923,0.9296,0.71318,0.64145,0.67551,0.66484,0.22377,0.70209,0.83566,0.00795954,0.00795954,0.00795954
