epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.9792,1.80517,3.53389,1.69194,0.0275,0.91925,0.12169,0.06239,1.71939,3.10755,1.34002,0.000218433,0.000218433,0.000218433
2,51.2885,1.47425,2.54205,1.46255,0.35053,0.3816,0.23718,0.05511,2.53009,2.30202,1.73166,0.000432039,0.000432039,0.000432039
3,73.5292,1.4825,2.23496,1.47529,0.39843,0.49929,0.3822,0.20374,1.46473,2.06821,1.38269,0.000636841,0.000636841,0.000636841
4,96.1856,1.44936,1.97147,1.45602,0.64977,0.69299,0.69684,0.24492,2.23643,1.5416,1.77199,0.00062738,0.00062738,0.00062738
5,117.608,1.41664,1.77199,1.43375,0.76962,0.69094,0.77868,0.28726,2.05195,1.49674,1.67497,0.000614174,0.000614174,0.000614174
6,140.156,1.37223,1.58913,1.39708,0.82023,0.77645,0.86985,0.37903,1.80591,1.3435,1.53545,0.000600967,0.000600967,0.000600967
7,162.271,1.36796,1.47413,1.40617,0.90412,0.84109,0.93973,0.49229,1.58,1.13871,1.50552,0.00058776,0.00058776,0.00058776
8,184.163,1.35352,1.40749,1.39392,0.93727,0.89738,0.9514,0.46968,1.67003,1.08566,1.51816,0.000574554,0.000574554,0.000574554
9,206.677,1.33434,1.33108,1.38212,0.91364,0.87501,0.95319,0.47805,1.61278,1.07819,1.49481,0.000561347,0.000561347,0.000561347
10,228.121,1.32664,1.28079,1.35699,0.89546,0.82972,0.93697,0.49823,1.54426,1.06854,1.43762,0.000548141,0.000548141,0.000548141
11,251.084,1.28825,1.21602,1.33887,0.90028,0.88847,0.94333,0.53617,1.47961,0.99069,1.45152,0.000534934,0.000534934,0.000534934
12,272.697,1.30278,1.21015,1.3416,0.90387,0.93493,0.96048,0.49758,1.48275,0.98381,1.4196,0.000521727,0.000521727,0.000521727
13,295.373,1.27969,1.18084,1.32194,0.93295,0.90811,0.95329,0.52949,1.53122,0.96096,1.47387,0.000508521,0.000508521,0.000508521
14,317.964,1.26184,1.14759,1.32233,0.94052,0.94965,0.95735,0.50247,1.5291,0.94707,1.40211,0.000495314,0.000495314,0.000495314
15,339.434,1.28736,1.13763,1.32697,0.91926,0.94641,0.96931,0.48367,1.63936,0.98287,1.46553,0.000482108,0.000482108,0.000482108
16,362.407,1.26767,1.09151,1.31895,0.94413,0.94305,0.97317,0.57309,1.39747,0.90954,1.37628,0.000468901,0.000468901,0.000468901
17,384.547,1.24235,1.08254,1.31586,0.91974,0.87255,0.95185,0.60982,1.28215,0.99714,1.3448,0.000455694,0.000455694,0.000455694
18,407.187,1.23733,1.06456,1.3045,0.96607,0.94687,0.97829,0.56032,1.43111,0.8398,1.37438,0.000442488,0.000442488,0.000442488
19,430.222,1.22651,1.04181,1.29795,0.95854,0.95526,0.97538,0.58081,1.42374,0.81778,1.34402,0.000429281,0.000429281,0.000429281
